Decade,Date,Total Bison Population,Natural Pressures on Bison,Social Pressures on Bison,Economics,Legislation Concerning Bison,Recovery Efforts,References,,Full citation,,,,,,,
,1871,0,,"This year marked the beginning of the end of the southern herd. 

The greatest slaughter took place along the railroads. 

One firm in St. Louis traded 250,000 hides this year. 

With newly discovered tanning process, bison were now hunted year round.",Demand for bison skins escalated as a Pennsylvania tannery began commercially tanning bison hides.,"Territorial delegate R.C. McCormick of Arizona introduced a bill that made it illegal for any person to kill a buffalo on public lands in the United States, except for food or preserving the robe. 

The bill indicated that the fine be $100 for each buffalo killed. Mysteriously, this document disappeared and thus was not passed.

Wyoming passed a law prohibiting the waste of bison meat and passed another that created a closed season on bison. since such laws were not enforced, they did little to protect the bison.",,"Aune & Plumb, 2019; Hornaday, 1989; Garretson, 1934; Hill, 2014; Moloney and Chambliss, 2014",,"Howard, W. 1889. The Rush to Oklahoma. Harpers Weekly 391–394",,,,,,,
,1872,0,,"During this year and the next two, an average of 5,000 bison were killed each day, every day of the year, as ten thousand hunters poured onto the plains. One railroad shipped over a million pounds of bison bones. Bison hunting became a popular sport among the wealthy.","1.2 million bison harvested annually

A 315,000 ft^3 Union Pacific shed filled to the top with bison hides that is estimated to be 44,333 hides (15,750 hides-72,917 hides) ","The Kansas legislature passed a law prohibiting the wasting of bison meat, but the Governor vetoed it. 

Colorado passed a law prohibiting the wasting of bison meat; it was not enforced. 

Montana territorial legislature passed an act that established a closed season for ""montain buffalo, moose, elk, black-tailed deer, white-tailed deer, mountain sheep, white Rockey Mountain goats, antelope, or hare, between the 1st of February to the 15th of August."" This was passed, however, not enforced. 

The federal legislation creating Yellowstone National Park provided against the wanton destruction of the fish and game found in said park. 

Staffing and funding were not provided to enforce this law.",Yellowstone National Park created by President Ulysses S. Grant,"Brownell, 1987; Garretson, 1934; Aune & Plumb, 2019; Moloney and Chambliss, 2014; Isenberg, 1992",,"Illinois Department of Natural Resources. n.d. Historical Highlights related to the Illinois Department of Natural Resources and Conservation in Illinois. <http://more.pjstar.com/peoria-history/http://www.encyclopedia.chicagohistory.org/pages/477.html>. Accessed 5 Jun 2019.

",,,,,,,
,1873,0,"Lincoln Park Zoo in Chicago, IL exhibits 2 bison for first time. May have helped normalied social norms of conservation","On the southern plains, slaughter reached its peak. One railroad shipped nearly three million pounds of bones. Hides sold for $1.25 each, tongues brought $0.25 each - most of the bison was left to rot. A railway engineer said it was possible to walk a 100 miles along the Santa Fe railroad right-of-way by stepping from one bison carcass to another.

","1.2 million bison harvested annually. 

Prices fell to $1.25 per robe (In todays economy $1.25= $26.16)

Hind quarters of Buffalo were worth $0.01 while the fore quarters were worthless","Columbus Delano, Secretary of the Interior, under President Grant, wrote in his 1873 report, ""The buffalo are disappearing rapidly, but not faster than I desire. I regard the destruction of such game as Indians subsist upon as facilitating the policy of the Government, of destroying their hunting habits, coercing them on reservations, and compelling them to begin to adopt the habits of civilization.""

","In 1872 or 1873 with the aid of his wife Sabine, Walking Coyote, a Pend d’Oreille Indian, acquired some bison calves, bringing them into the Flathead Valley with the intent of starting a bison herd.

Fredrick Dupree capture 9 bison on Yellowstone River in Montana and brought them to South Dakota. This herd will be later owned by James ""Scotty"" Philip. 

In Canada, west of Winnipeg, James McKay acquired five bison and established a small herd.

 ","Wood, 2000; Hornaday, 1989; Garretson, 1934; Moloney and Chambliss, 2014",,"Isenberg, A. C. 1992. Toward A Policy of Destruction: Buffaloes, Law, and The Market, 1803-83. Great Plains Quarterly 12:227–241. University of Nebraska Press. <http://www.jstor.org/stable/23531659>.",,,,,,,
,1874,4500000,,"This year marked the seeming end of the great southern herd. Auctions in Fort Worth, Texas were moving 200,000 hides every day or two. One railroad shipped nearly 7 million pounds of buffalo bones.

","1.2 million bison harvested annually. 

Barbed wire fences introduced to open range.","Congress advanced their efforts to save the bison. 

Both the House and Senate passed a bill ""to precent the useless slaughter of buffaloes iwthin the Territories of the United States.""

The first section made it unlawful for any person not an Indian to kill a female buffalo and the second prohibited the killing of more males than could be used for food or merketed. 

However, President Grant refused to sign the bill.","Around this time, William and Charles Alloway of Manitoba, Canada, with the aid of a milk cow, captured three bison calves to start their own herd.

Philadeplia Zoological Garden opens with bison on exhibit. 
","Stoneberg Holt, 2018; Aune & Plumb, 2019; Hayter, 2012; Tolles, 2013",,"Isenberg, A.C. 1997. The Returns of Bison: Nostalgia, profit, and preservation. Enviromental History 2(2) 179-196",,,,,,,
,1875,0,,,,"Few bison remained in Texas when the state legislature moved to protect the bison. However, General Phil Sheridan appeared before the assembly and suggested that every hunter be given a medal Awith a dead buffalo on one side and a discouraged Indian on the other. He added that once the animals were exterminated, the Indians would be controlled and civilization could advance.","Cincinnati Zoological Gardens opens with one (1) bison as exhibit, among many other species. ","Dolin, 2010; Cincinnati Zoo & Botanical Garden, n.d.",,"Isenberg, A.C. 2000. The Destruction of the Bison: an enviromental history, 1750-1920. Cambridge: Cambridge University Press ",,,,,,,
,1876,0,,"The estimated three to four million bison of the southern plains were now dead. The Northern Pacific Railroad, anxious to advance, ignored tribal treaties and sent in a survey party. Native Americans killed some of the men, and General George Custer was sent to investigate, making history with the Battle at Little Big Horn.
Fort Benton alone sent 80,000 hides to market (Bring in $200,000)","Hides went for $2.50 each (in 2018 dollars: $58.67)
","Montana revised its previous wildlife protection bill to prohibit the killing of animals ""for the purpose of procuring the hide only"" and ""not making use of the carcass ... for food, for himself or for the purpose of selling the same to others for food.""

Illinois Rep. Greenbury Fort introduced a bill banning Commerical Buffalo hunting in the indian territories. after passing the House it stalled in a Senate committee",,"Brownell, 1987; Garretson, 1934; Isenberg, 1992",,"Jahoda, G. 1975. The trail of tears : the story of the Indian removal, 1813-1850. 1st ed. by Gloria Jahoda. 1st ed. Holt, Rinehart and Winston. ",,,,,,,
,1877,0,,A few remaining free roaming bison were discovered in Texas and were killed.,,"A law was passed in Canada that forbade the use of pounds (corrals), wanton destruction, killing of buffalo under 2 years of age, and the killing of cows during a closed season.","Lt. Col. Samuel Bedson of Stoney Mountain, Manitoba (Canada) purchased bison from the Alloway herd, the McKay herd and from some Native Americans.","Hornaday, 1889",,"Kersey, R. T. 1958. Buffalo Jones : a true biography. [Garden City, Kan.] : [Elliott Printers], [1958]. ",,,,,,,
,1878,3800000,,Bison in Canada were disappearing rapidly.,,Canada repealed the 1877 law.,"Charles Goodnight preserves a herd of wild bison in Texas. Descendants of these animals are allegedly at Caprock Canyons State Park. Charles Goodnight was known to crossbreed bison with cattle. 

In 1902, bison from this herd were introduced to Yellowstone by CJ ""Buffalo"" Jones. ","Stoneberg Holt, 2018; Aune & Plumb, 2019; Garretson, 1934; Isenberg, 1997",,"Khan, M.A, Kostopoulos, D.S., Akhtar,M., Nazir, M. 2010. Bison remains from the Upper Siwaliks of Pakistan. Neues Jahrbuch fur Geologie und Palaontologie - Abhandlugen. 258(1):121-128.",,,,,,,
,1879,3500000,,,,Wisconsin establishes Game Warden Office,,"Stoneberg Holt, 2018; Gjestson, 2013",,"Kirby, M.W. 2002. The orgins of railway enterprise: the Stockton and Darlington railway 1821-1863. Cambridge University Press, 2002.",,,,,,,
1880s,1880,3300000,,Slaughter of the northern herd had begun.,,New Mexico passed a law to protect the bison; unfortunately the bison were already gone from this state.,,"Stoneberg Holt, 2018; Crenshaw, 2002",,"Kleiman, B. 2016. Nachusa Grasslands: 30 Years of Lessons Learned Recommended Citation Kleiman, Bill. Volume 11. <https://ir.library.illinoisstate.edu/napc/9>. Accessed 6 Jun 2019.",,,,,,,
,1881,3000000,,"This year's winter marked the largest slaughter of the northern herd. One county in Montana shipped 180,000 buffalo skins. Robes brought $2.50 to $4.00 each.

The Northern Pacific alone shipped 50,000 hides",Southern transcontintental railway completed. Largely following modern Interstate 10,"South Dakota makes it illegal to kill and leave any part of a deer, elk, buffalo, antelope, and mountain sheep on the prairie. ",,"Stoneberg Holt, 2018; Garretson, 1934; U.S. National Park Service, n.d; Hanner, 1981",,"Kolipinski, M., S. Borish, A. Scott, K. Kozlowski, and S. Ghosh. 2014. Bison: Yesterday, Today, and Tomorrow. Natural Areas Journal 34:365–375.",,,,,,,
,1882,800000,,"Over 10,000 bison were taken during one hunt of a few days length in Dakota Territory in September. The fate of the northern herd had been determined. Hunters thought that the bison had moved north to Canada, but they hadn't. They had simply been eliminated.

The Northern Pacific alone shipped 200,000 hides",,,"Cincinnati Zoo had first bison born in captivity.
Buffalo Bill Cody begins his Buffalo Bill's Wild West Show.  
Dupree herd is established.","Stoneberg Holt, 2018; Garretson, 1934; Isenberg, 2000; Wood, 2000",,"Konza Prairie Biological Station. n.d. Konza Prairie Biological Station. Manhattan, KS. <https://kpbs.konza.k-state.edu/v-day/fact-sheets/history.pdf>. Accessed 7 Jun 2019.",,,,,,,
,1883,25177,,"By mid-year nearly all the bison in the United States were gone.

The Northern Pacific alone shipped 40,000 hides",,,,"Stoneberg Holt, 2018; Garretson, 1934",,"Kriegel, R. 1998. Dedicated to Conservation. Missouri Conservationist Magazine 59 (9). <https://mdc.mo.gov/conmag/1998/09/dedicated-conservation>. Accessed 29 May 2019.",,,,,,,
,1884,350,,"The Northern Pacific shipped two carloads (300 bison from Dickson, North Dakota and none from Fort Benton)",,Congress gives the Army the task of enforcing laws in Yellowstone National Park in an effort to protect the final few wild bison from poachers.,"Charles Goodnight re-established his herd.

Michel Pablo and Charles Allard of Montana purchased 13 bison from Walking Coyote for $2000 in gold.

","Lueck, 2002; Wood, 2000; Garretson, 1934",,"Lacey Act of 1900, 16 U.S.C. §§ 3371–3378; 18 U.S.C. §42. ",,,,,,,
,1885,0,,,,"Montana establishes Fish and Game Commission. 

Illinois establishes Game Warden Office.

United States establishes Section of Economic Ornithology within the US Department of Agriculture, to become the U.S. Fish and Wildlife Service.",,"Brownell, 1987; Illinois Department of Natural Resources, n.d.; Schmidly, et al, 2016",,"Lbova, L.V. 1999. The palaeoecological model of the Upper Palaeolithic site Kamenka (Buryatia-Siberia). Anthropozoikum 23, 181-191. ",,,,,,,
,1886,0,,"The Smithsonian Institute sent an expedition out to obtain bison specimens for the National Museum. After a lengthy search, some were found near the LU Bar Ranch in Montana. Twenty-five were collected for mounting and scientific study. (The original mounted specimens were brought to the Fort Benton (MT) Museum of the Upper Missouri in the mid-1990's, close to where the original bison were taken.)",, ,"William Hornaday promotes recovery of wild bison in Montana.

CJ ""Buffalo"" Jones wrangles 18 bison calves in Texas panhandle and brings back to Kansas. 

CJ Jones and Charles Goodnight both work towards breeding bison with cattle to make beefalo and cattalo. ","Wood, 2000; Hornaday, 1889",,"Lee, J. E. 2014. Dunn Ranch Nature Conservancy. <https://pages.wustl.edu/mnh/dunn-ranch-nature-conservancy>. Accessed 6 Jun 2019.",,,,,,,
,1887,0,,,One of the last lots of bison robes sold in Texas for $10 per robe.,Minnesota establishes Game Warden Office,"Theodore Roosevelt founds the Boone & Crockett Club.

The Smithsonian's National Zoo opened with bison as exhibit. ","Regan, 2018; Hornaday, 1889; Smithsonian’s National Zoo & Conservation Biology Institute, n.d.; Palmer, 1912",,"Leopold, A., 1970. A Sand County almanac: With other essays on conservation from Round River. Outdoor Essays & Reflections.",,,,,,,
,1888,1300,,,,,"Austin Corbin established a herd of bison on New Hampshire's Blue Mountain Game Preserve.

Lincoln Park Zoo in Chicago, IL has bison born in captivity. ","Hornaday, 1913; Hornaday, 1889",,"Louisiana Purchase Treaty. 1803. General Records of the U.S. Government; Record Group 11, National Archives. 
",,,,,,,
,1889,1091,,,"Last commercial shipments of hides anywhere in United States.

Land Rush of Oklahoma ""Sooners""- land ownership",Montana passed a law making it illegal to shoot any bison for ten (10) years within the territory - hires first Game Warden. ,,"Brownell, 1987; Hornaday, 1889; Howard, 1889",,"Lueck, D. 2002. The Extermination and Conservation of the American Bison. The Journal of Legal Studies 31(2) 609-652.",,,,,,,
1890s,1891,0,,,, Colorado establishes Game and Fish Department.,,"Williams, 1907",,"Malotki, E. 2012. Early Rock Art at the upper sand Island site near Bluff, Utah, United States: addenda et corrigenda. Rock Art Research 29(2), 234-238. ",,,,,,,
,1892,0,,,,,John Muir founds the Sierra Club,"Regan, 2018",,"Martin, J. M., Martin, R.A., Mead, J. I. 2017. Late Pleistocence and Holocene Bison of the Colorado Plateau. Southwestern Naturalist 62(1) 14-28. ",,,,,,,
,1894,0,,,,"The Lacey Act of 1894 was passed. 

The National Park Protective Act (Chapter 72 of Lacey Act) imposed jail sentencing and fines ($1000 then; $27,500 in 2015 dollars) for poaching within the national parks, and became the first law to provide specific protection for bison within the National Park System. President: Grover Cleveland",,"Boyd and Gates, 2006; Lacey Act of 1894",,"McDonald, J. N. 1981. North American bison: Their classification and evolution. University of California Press, Los Angeles, California. ",,,,,,,
,1895,800,,,,"Missouri establishes Game Warden Office. 
North Dakota establishes Office of the State Game Wardens
Wyoming establishes Office of State Game Warden.","Wildlife Conservation Socity founded as the New York Zoological Society at the Bronx Zoo

The Pablo/Allard herd in the Flathead Valley totaled about 300. Allard died from injuries ","Aune & Plumb, 2019; Kriegel, 1998; McLain, 2018; Palmer, 1912; Wyoming State Archives, n.d.",,"McHugh, T. 1972. The Time of the Buffalo. Alfred A. Knopf, Inc.",,,,,,,
,1896,0,,,Klondike Canada gold rush,,"After Allard's death, his widow sold her portion to Charles Conrad of Kalispell, MT.

It is likely that many of the 300 bison from the Pablo/Allard herd stocked many of the zoos and parks around the country, including, circuitously to Yellowstone via City Zoos. 

Lincoln Park Zoo sells 1 bull and 7 cows to US Government to stock Yellowstone. ","Aune & Plumb, 2019; Morse, 2009",,"Mckee, G., and M. Boland. 2009. North American Bison Cooperative and North Dakota Natural Beef LLC: Governance of a Contractual Alliance. Journal of Cooperatives. Volume 23",,,,,,,
,1897,0,,last 4 Public (wild) bison killed in the United ,,Bitteroot Forest reserve established to protect bison in Idaho. ,,"Garretson, 1934; U.S. Forest Service, n.d.",,"McLain, T. 2018. The Constitutionality of Fish and Wildlife Related Searches and Seizures Conducted by Conservation Agents in Missouri.  Saint Louis University School of Law. <http://www.sos.mo.gov/>. Accessed 17 Jun 2019.",,,,,,,
,1899,0,,,,Idaho establishes Game and Fish Game Warden Office.,"Bronx Zoo opens

","Palmer, 1912;  Wildlife Conservation Soceity, n.d.; ",,"Meagher, M. 1986. Bison bison. Mammalian Species 266:1-8. ",,,,,,,
1900s,1900,0,,,,The Lacey Act of 1900 was passed,,"Lacey act of 1900; Garretson, 1934",,"Moloney, C. J., and W. J. Chambliss. 2014. Slaughtering the Bison, Controlling Native Americans: A State Crime and Green Criminology Synthesis. Critical Criminology 22:319–338. <https://doi.org/10.1007/s10612-013-9220-5>",,,,,,,
,1901,0,,,Alaska gold rush begins,"Montana appoints first Game and Fish Warden 

Nebraska establishes Game and Parks Commission. ","James ""Scotty"" Philip buys around 100 bison in South Dakota. ","Adams and Dood, 2011; Brownell, 1987; Williams, 1907; Wood, 2000",,"Moreno-Mayar, J. V., et al. 2018. Terminal Pleistocene Alaskan genome reveals first founding population of Native Americans. Nature 553:203.",,,,,,,
,1902,723,,,,,"CJ ""Buffalo"" Jones named as first Game Warden at Yellowstone National Park by President Theodore Roosevelt. CJ introduced the bison to Yellowstone with seed stock from Texas (Goodnight herd) and 20 from Montana (Pablo-Allard herd).","Isenberg, 1997; Lueck, 2002",,"Morin, E. 2008. Evidence for declines in human population densities during the early Upper Paleolithic in western Europe. Proceedings of the National Academy of Sciences. 105:48.",,,,,,,
,1903,1010,,,,New Mexico establishes Fish and Game Warden Office,W.C. Whitney donates 26 bison and William Hornaday donates 7 bison to the Bronx Zoo  ,"Crenshaw, 2002; Aune & Plumb, 2019",,"Morris, G.D.L. 2017. The New Iron Age: West Point Foundry on the Hudson Pioneered Heavy Manufacturing. Financial History 122 (4) 32-35. ",,,,,,,
,1905,100,,,,Kansas establishes Fish and Game  warden office,"The American Bison Society (ABS) founded by private citizens to protect and restore bison in concert with the New York Zoological Society and Bronx Zoo. Ernest Harold Baynes, founder; William T. Hornaday, president; Theodore Roosevelt, honorary president.

CJ ""Buffalo"" Jones crossbred bison with Galloway cattle on a government ranch on the North Rim of the Grand Canyon in the Kaibab Plateau, Arizona. Now known as House Rock Valley. ","Lueck, 2002; Martin, et. al., 2017; Williams, 1907",,"Morse, K. 2009. The Nature of Gold: An Environmental History of the Klondike Gold Rush. University of Washington Press.",,,,,,,
,1906,0,,,,Antiquities Act of !906,"Pablo sold his bison herd to Canada, after Congress turned down funding for purchase for the United States. After 5 years of rounding up, a total of 672 animals were shipped to Canada. Pablo received more than $160,000.","Antiquities Act of 1906; Isenberg, 1997 ",,"Nathan, R. A. 2018. The Grapevine Creek Buffalo Jump Complex: Interdisciplinary Research on the Crow Reservation, Montana. Indiana University.",,,,,,,
,1907,0,,,,Texas establishes Game Department. ,ABS shipped 15 bison from the Bronx Zoo to Wichita Mountains Wildlife Refuge and Game preserve in Oklahoma. ,"Texas State Library and Archives Commission, 2016; Aune & Plumb, 2019",,"National Bison Association. 2017. U.S. Bison Sales Hit $350 Million in Retail, Restaurant Sales - National Bison Association. <https://bisoncentral.com/press-release/u-s-bison-sales-hit-350-million-in-retail-restaurant-sales/>. Accessed 6 Jun 2019.",,,,,,,
,1908,1592,,,,,National Bison Range in Montana established for a permanent range for the herd of bison to be presented by ABS.,"Isenberg, 2000; Hornaday, 1908",,"National Park Service, U.S. Fish and Wildlife Service, and The Nature Conservancy. 2005. Greater Sand Dunes Interagency Fire Management Plan Environmental Assessment/ Assessment of Effect. <https://www.nps.gov/grsa/learn/management/upload/Final Greater Sand Dunes FMP EA-AEF w figures.pdf>. Accessed 7 Jun 2019.",,,,,,,
,1909,0,,,,"Oklahoma establishes Game Warden Office. 
South Dakota establishes Office of the State Game Wardens.","Thirty-four bison purchased from the Conrad herd (Kalispell, MT) by ABS, donated and release on National Bison Range.","Oklahoma Department of Wildlife Conservation, n.d.; Reffalt et al, 2008; Casper and Pieczko, 2014",,"Nesheim, D. A. 2012. Profit, Preservation, and Shifting Definitions of Bison in America. Environmental History 17:547–577. <http://10.0.4.69/envhis/ems048>.",,,,,,,
1910s,1910,2073,,,,,,"American Bison Society, 1910",,"Ning, X, I, N and J. Liao. 2017. History of the Silk Road. Chronos 36, 167- 195.",,,,,,,
,1911,2961,,,,,"American Game Protective Association founded (Wildlife Management Institute). 

Scotty Philip died and some of his 1000 bison were sold to the State of SD to establish Custer State Park bison herd. ","Regan, 2018; American Bison Society, 1911; Nesheim, 2012",,"Niven, L. 2007. From carcass to cave: Large mammal exploitation during the Aurignacian at Vogelherd, Germany. Journal of Human Evolution. 53 (4) 362-382. ",,,,,,,
,1912,2905,,,,Arizona establishes Game Warden Office, ,"American Bison Society, 1912; Arizona State Library, 2018",,"Norland, J. E. 1984. Habitat use and distribution of bison in Theodore Roosevelt National Park. Montana State University-Bozeman.",,,,,,,
,1913,3349,,,,,"Wind Cave National Park (SD) received 14 bison from the New York Zoological Society (now the Wildlife Conservation Society).

Custer State Park in South Dakota was established with bison herd.

The ABS donated 6 bison to the Fort Niobrara Game Preserve.","WICA, 2006; McHugh, 1972; American Bison Society, 1913; Wood, 2000",,Office of the Historian Bureau of Public Affairs. n.d. Milestones: 1830–1860. <https://history.state.gov/milestones/1830-1860/texas-annexation>. Accessed 3 Jun 2019.,,,,,,,
,1914,3715,,,,,,"American Bison Society, 1914",,Oklahoma Department of Wildlife Conservation. n.d. ODWC Timeline. <https://www.wildlifedepartment.com/about-the-odwc/timeline>. Accessed 10 Jun 2019,,,,,,,
,1915,0,,,,Arkansas establishes Game and Fish Commission,,"Arkansas Game and Fish Commission, n.d",,"Palmer, T. 1912. Chronology and index of the more important events in American game protection, 1776-1911. No. 41. U.S Government Printing Office.",,,,,,,
,1916,5028,,,,,,"American Bison Society, 1916",,"Pearson, A. 2005. Carbon dioxide- new uses for an old refridferant. International Journal of Refrigeration 28 (8) 1140-1148.",,,,,,,
,1918,6013,,,,,,"Garretson, 1918",,"Petersen, W. J. 1968. The Joliet-Marquette Expedition. The Palimpest 49 (10), 416-446.",,,,,,,
,1919,0,,,,,"Grand Canyon National Park established. 

CJ ""Buffalo"" Jones dies. 

American Society of Mammalogists is formed. 

Austin Corbin donates bison to Pisgah National Forest and Game Preserve in North Carolina.","Aune & Plumb, 2019; Animal Care and Use Committee, 1998; Kersey, 1958",,"Pinkerton, R. E. 1931. Hudson’s Bay company. by Robert E. Pinkerton ; introduction by Stewart Edward White. H. Holt and Company. ",,,,,,,
1920s,1920,8448,,,,,,"Garretson, 1920",,"Plante, T.K. 2015. Ending the Bloodshed. Prologue-Quarterly of the National Archives and Records Aministration 47 (1)46-52.",,,,,,,
,1923,12264,,,,,,"Garretson, 1923",,"Pollard, E. A. 2013. Indian Spices and Roman “Magic” in Imperial and Late Antique Indomediterranea. Journal of World History 24:1–23. University of Hawai’i. <http://10.0.5.73/jwh.2013.0012>.",,,,,,,
,1926,16329,,,,,,"Garretson, 1926",,"Popper, D., and F. Popper. 2006. The onset of the Buffalo Commons. Journal of the West 45:29–34. <https://www.cpp.edu/~tgyoung/rs510/Onset_Buff_Comm.pdf>. Accessed 10 Jun 2019.",,,,,,,
,1927,0,,,,,Arizona Game and Fish Department purchases bison for the House Rock Valley adjacent to Grand Canyon National Park in Arizona. ,"Hoffmeister, 1986",,"Pucek, Z. , I.P. Belousova, M. Krasinski, and W. Olech. 2002. European bison Bison bonasus: Current state of the species and an action plan for its conservation. Z. Pucek (Ed.). Mammal Research Institute. Polish Academy of Sciences, Bialowieza, Poland. ",,,,,,,
,1929,17664,,,,,,"Garretson, 1929",,"Pyne, S. 2017. The Great Plains: A Fire Survey. University of Arizona Press.",,,,,,,
1930s,1934,0,Droughts and Dust Bowl across Great Plains,Sioux (Pine Ridge) in South Dakota and Crow establish herds in Montana,,,,"Isenberg, 2000; Nesheim, 2012",,"Quiles, A., et al. 2016. A high-precision chronological model for the decorated Upper Paleolithic cave of Chauvet-Pont d'Arch, Ardeche, France. Proceedings of the National Academy of Sciences 113 (17) 4670-4675. ",,,,,,,
,1935,0,,,,,"Because of the secure populations of bison in public herds, the American Bison Society votes itself out of existence.","Lueck, 2002",,"Redford, K. H. 2007. Ecological Future of Bison in North America: A Report from a Multi-Stakeholder, Transboundary Meeting. Bronx, NY. <www.wcs.org/science.>. Accessed 6 Jun 2019.",,,,,,,
,1936,#N/A,,,,,National Wildlife Federation founded,"Regan, 2018",,"Reed, E.K. 1955. Bison beyond the Pecos. Texas Journal of Science. 7:130-135. ",,,,,,,
,1937,0,,,,Pitman-Robertson act - Federal Aid in Wildlife Restoration Act,The Wildlife Society founded,"Federal Aid in Wildlife Restoration Act, 1937; Regan, 2018",,"Reed,E.K. 1952.  The myth if Montezuma's bison and the type loaclity of the species. Journal of Mammalogy 33: 390-392.",,,,,,,
,1939,2013,,,,,Badlands National Park established. ,"Gabrielson, 1941; Badlands National History Association, 1968",,"Reeves, B.O.K. 1978. Head-Smashed-In: 550 Years of Bison Jumping in the Alberta Plains. Plains Anthropologist 23(82) 151-174.",,,,,,,
1940s,1940,0,,,,U.S. Fish and Wildlife Service (FWS) created after Bureau of Fisheries and Bureau of Biological Survey merge and are moved out of USDA into the Department of Interior. ,,"Nesheim, 2012",,"Reffalt, B., B. West, and P. Jamieson. 2008. The National Bison Range ~ From the Past, For the Future. <https://www.fws.gov/uploadedFiles/NBR.History.update2008.pdf>. Accessed 10 Jun 2019",,,,,,,
,1941,0,,U.S. enters WWII,,,,"Declaration of state of war with Japan, 1941",,"Regan, R. 2018. Formation of Federal, State, and Provincial Agencies and Conservation Organizations. Pages 361–367 in B. Leopold, W. Kessler, and J. Cummins, editors. North American Wildlife Policy and Law. Boone and Crockett Club, Missoula",,,,,,,
,1943,0,,"Buffalo meat used to feed Americans during war since Bison meat was considered ""game"" and didn't need a rations coupons to buy.",,,,"Nesheim, 2012",,"Reher, C. A. 1985. Adaptive process on the late prehistoric shortgrass plains: archaeological study of the Vore site, a buffalo jump in the Black Hills of northeast Wyoming. By Charles A, Reher. 1978., 1985.",,,,,,,
,1947,0,,,,Canada establishes Canadian Wildlife Service,,"Burnett, 2003",,"Rosenthal, M., C. Tauber, and E. Uhlir. 2003. The ark in the park : the story of Lincoln Park Zoo. University of Illinois Press.",,,,,,,
,1949,0,,,,,Aldo Leopold's Sand County Almanac published,"Leopold, 1949",,"Rousseau, P. L. 2002. Jacksonian Monetary Policy, Specie Flows, and the Panic of 1837. The Journal of Economic History 62:457–488. <https://www-cambridge-org.srv-proxy2.library.tamu.edu/core/services/aop-cambridge-core/content/view/3D05226490512D8036BA19DFE378018E/S0022050702000566a.pdf/jacksonian_monetary_policy_specie_flows_and_the_panic_of_1837.pdf>. Accessed 29 May 2019.",,,,,,,
1950s,1950,0,,,,National Science Foundation started,The ecologist union reorginizes its self and becomes The Nature Conservancy,"Dexter, 1978; National Science Foundation Act, 1950",,"S. 2032-114th Congress. 2016. National Bison Legacy Act. 25 U.S.C 477, United States of America. <https://www.govinfo.gov/content/pkg/BILLS-114hr2908enr/pdf/BILLS-114hr2908enr.pdf>. Accessed 6 Jun 2019.",,,,,,,
1960s,1966,0,,,,,National Buffalo Association established,"Popper and Popper, 2006",,"Schmidly, D. J., W. E. Tydeman, and A. L. Gardner. 2016. United States Biological Survey: A compendium of its history, personalities, impacts, and conflicts. <https://repository.si.edu/bitstream/handle/10088/29758/SP 64.pdf?sequence=1&isAllowed=y>. Accessed 3 Jun 2019.",,,,,,,
1970s,1970,0,,,,,,"Mchugh, 1972",,"Senate Journal. 1803. 7th cong., 2nd sess., 18 January.",,,,,,,
,1971,0,,,,Wild Free-roaming horses and burros act,,The Wild Free-Roaming Horses And Burros Act of 1971,,"Shapiro, B., et al. 2004. Rise and fall of the Beringian Steppe Bison. Science 306: 1561-1565.
",,,,,,,
,1973,0,,,,Endangered Species Act,,Endagered Species Act of 1973,,Smithsonian’s National Zoo & Conservation Biology Institute. n.d. American Bison Exhibit. <https://nationalzoo.si.edu/animals/exhibits/american-bison>. Accessed 6 Jun 2019,,,,,,,
,1975,0,,,,,American Bison Association established,"Popper and Popper, 2006",,"Snell, J. 2010. Development of Operational Structures in the Meat Processing Industry During the Late 19th Century. Conflict Resolution & Negotiation Journal 11–14. Franklin Publishing Company. ",,,,,,,
,1976,0,,,,,Fort Niobrara refuge designated as Wilderness,"Designation of Wilderness Areas Within the National Wildlife Refuge System, 1976",,"Solomina, O. N., et al. 2016. Glacial fluctuations during the past 2000 years. Quaternary Science Reviews 149: 61-90. ",,,,,,,
,1978,0,,,,Theodore Roosevelt National Park established in North Dakota. ,,"Norland, 1984",,"Soubrier, J. 2016. Early cave art and ancient DNA record the origin of European bison. Nature Communications. 7:13158.",,,,,,,
1980s,1985,0,,,,,"The Nature Conservancy (TNC) Samuel Odway Memorial Preserve in South Dakota establishes herd of bison
TNC Niobrara Valley Preserve in Nebraska","Pyne, 2017; Aune and Plumb, 2019",,"Spence, K. 2000. Ancient Egyptian chronology and the astronomical orientation of pyramids. Nature 408 (6810) 320-324.",,,,,,,
,1986,0,,,,,TNC reintroduced bison to the Cross Ranch Preserve in North Dakota,"Enright, 2009",,"Stoneberg Holt, S.D. 2018. Reinterpreting the 1882 Bison Population Collapse. The Society for Range Management 40:106-114.",,,,,,,
,1987,0,,,,,The Nature Conservancy introduced bison to the Konza Prairie Biological Station in Kansas,"Konza Prairie Biological Station, n.d.",,"Stuart, A.J. 1991. Mammalian Extinctions in the Late Pleistocene of Northern Eurasia and North America. Biological Reviews 66: 453-562.",,,,,,,
1990s,1990,0,,,,,The Intertribal Bison Cooperative (ITBC) was formed by 57 tribes,"Gates, et al., 2010",,"Taylor, M. S. 2011. Buffalo Hunt: International Trade and the Virtual Extinction of the North American Bison. American Economic Review 101:3162–3195. ",,,,,,,
