OID,longitude,latitude,code,observation,sitenumber,sitename,unit,sitetypeshortremarks,elevation(masl),youngdatebp,olddatebp,year,month,day,archaeologicalcultureperiod,Country,States.Provinces,US.counties,NISP,MNI,species,specimenID,References,,Reference_number,Reference_citation
1354,-113.1057417,60.62192893,1,Fidler-1791-09-23,NW1941,Fidler-1791-09-23,1791-1810-Fidler,"Down river, hunting bison, many beaver",170.4482727,159,NA,1791,9,23,,Canada,Northwest Territories,.,3,16,Bison bison,,1302,,1351,"Wendorf, F., and J.J. Hester. 1962. Early man's utilization of the Great Plains environment. American Antiquity 28:159-171."
1355,-113.1004379,53.75349893,1,Henday-1755-03-30,NW411,Henday-1755-03-30,1754-55-Henday,"lost a hatchet, hunters get 2 bison, 4 moose",653.7259521,195,NA,1755,3,30,,Canada,Alberta,.,3,5,Bison bison,,"80, 893",,1352,"Wendt, J.A.F., D.B. McWethy, C. Widga, and B.N. Shuman. 2022. Large-scale climatic drivers of bison distribution and abundance in North America since the Last Glacial Maximum. Quat. Sci. Rev. 284:107472. doi:10.1016/j.quascirev.2022.107472. "
1356,-113.0988283,44.48677861,1,Work-1831-12-31,NW6252,Work-1831-12-31,1823-40-Work,"same camp, trappers out with Flatheads killing bison",2522.078369,119,NA,1831,12,31,,United States of America,Idaho,Lemhi,3,20,Bison bison,,758,,1353,"Werdelin, L. 1985. Small Pleistocene felines of North America. Journal of Vertebrate Palaeontology 5(3):194-210."
1357,-113.097137,41.514922,2,,,Beatty Springs [42BO200],NA,Main excavation area - depth of 18 (prob. Arbitrary excavation procedures) (bone/portion of Bison Ulna),1322.103027,2319,2499,-369,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1354,"Wettlaufer, B. 1955. The Mortlach site. Saskatchewan Museum of Natural History Anthropological Series 1, Regina, Saskatchewan."
1358,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,Mocassin leather. 42BO1:9756,1322.103027,694,746,1256,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1355,"Wettlauger, B. and W.J. Mayer-Oakes. 1960. The Long Creek site. Saskatchewan Museum of Natural History Anthropological Series 2, Regina, Saskatchewan."
1359,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:9764",1322.103027,688,736,1262,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1356,"Wheat, J.B. 1972. The Olsen-Chubbuck site: A Paleoindian Bison Kill. American Antiquity Memoir 26, 37(1), Part 2."
1360,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:10107",1322.103027,686,732,1264,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1357,"Wheat, J.B. 1979. Memoir 15: The Jurgens Site. Plains Anthropologist 24(84):1-153."
1361,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:10058",1322.103027,681,727,1269,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1358,"Wheat, J.B., H.E. Malde, and E.B. Leopold. 1972. The Olsen-Chubbuck site: a Paleo-Indian bison kill. Memoirs of the Society for American Archaeology 26: i-180."
1362,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:10102",1322.103027,675,725,1275,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1359,"Whistler, D.P. 1989. Late Pleistocene chipmunk, Tamias (Mammalia: Sciuridae), from Rancho La Brea, Los Angeles, California. Bulletin of the Southern California Academy of Sciences 88(3):117-122."
1363,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,NA,1322.103027,674,718,1276,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1360,"Whistler, D.P. 1990. A late Pleistocene (Rancholabrean) fossil assemblage from the northwestern Mojave Desert, California. San Bernardino County Museum Quarterly 37(2):3-17."
1364,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:11582.37",1322.103027,672,718,1278,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1361,"Whistler, D.P., and J.D. Stewart. 1989. A late Pleistocene (Rancholabrean) assemblage from the north-western Mojave Desert. Pages 67-68 in J. Reynolds, editor. Abstracts of Proceedings from the 1989 Mojave Desert Quaternary Research Symposium. San Bernardino County Museum Association Quarterly 36(2)."
1365,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Hide, leather sandal. 42BO1:AR815",1322.103027,664,708,1286,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1362,"Whistler, D.P., R.L. Clark, S.M. Cox, D. Diveley-White, M.R. Faull, R.C. Mabie, and E. Scott. 1991. Extinct megafauna from the Dove Springs lignites, northwestern Mojave Desert, California. Page 55 in J. Reynolds, editor. Abstracts of Proceedings from the 5th Annual Mojave Desert Quaternary Research Symposium. San Bernardino County Museum Association Quarterly 38(2)."
1366,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:11582.15",1322.103027,663,709,1287,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1363,"White, J.A., H.G. McDonald, E. Anderson, and J.M. Soiset. 1984. Lava blisters as carnivore traps. Pages 241-256 in H.H. Genoways and M.R. Dawson, editors. Contributions in Quaternary Vertebrate Paleontology: A Volume in Memorial to John E. Guilday. Carnegie Museum of Natural History Special Publications 8, Pittsburgh, Pennsylvania."
1367,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:10065",1322.103027,659,705,1291,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1364,"Whyte Museum of the Canadian Rockies, Catalogue Number 112.02.1005. https://archives.whyte.org/en/permalink/artifact112.02.1005"
1368,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,Leather from moccasin. 42BO1:10070,1322.103027,655,709,1295,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1365,"Wickham, M.D. 2005. EFPM-27: Faunal Analysis of a Late Prehistoric Bison Bone Bed in Fish Creek Provincial Park, Calgary, Southwest Alberta. Master's thesis. University of Calgary, Calgary, Alberta."
1369,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,NA,1322.103027,653,699,1297,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1366,"Widga, C. 2004. Early Archaic subsistence in the Central Plains: the Spring Creek (25FT31) fauna. Plains Archaeologist 49(189):25-58."
1370,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:10251",1322.103027,651,697,1299,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1367,"Widga, C. 2006. Niche variability in late Holocene bison: a perspective from Big Bone Lick, KY. Journal of Archaeological Science 33(9):1237-1255."
1371,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:11582",1322.103027,650,696,1300,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1368,"Widga, C. 2007. Ongoing investigations of the Meserve type locality in Central Nebraska. Current Research in the Pleistocene 24:145-147."
1372,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:11582.3",1322.103027,648,696,1302,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1369,"Widga, C.C. 2006. Bison, Bogs, and Big Bluestem: the Subsistence Ecology of Middle Holocene Hunter-Gatherers in the Eastern Great Plains. Doctoral thesis. University of Kansas, Lawrence, Kansas."
1373,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,Mocassin leather. 42BO1:10055,1322.103027,646,698,1304,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1370,"Wilkins, K.T. 1983. Pleistocene mammals from the Rock Springs local fauna, central Florida. Brimleyana 9:69-82."
1374,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:10129",1322.103027,643,689,1307,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1371,"Willey, P.S., and J.T. Hughes. 1978. The Deadman's Shelter site. Pages 150-190 in J.Y. Hughes and P.S. Willey, editors. Salvage Archeology at Mackenzie Reservoir. Texas Historical Commission Archaeological Survey Report 24, Austin, Texas."
1375,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,NA,1322.103027,640,688,1310,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1372,"William, J.D., editor. 2000. The Big Black Site (32DU955C): A Folsom Complex Workshop in the Knife River Flint Quarry Area, North Dakota. Washington State University Press, Pullman, Washington."
1376,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,NA,1322.103027,639,685,1311,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1373,"Williams, J.W., E.G. Grimm, J. Blois, D.F. Charles, E. Davis, S.J. Goring, R. Graham, A.J. Smith, M. Anderson, J. Arroyo-Cabrales, A.C. Ashworth, J.L. Betancourt, B.W. Bills, R.K. Booth, P. Buckland, B. Curry, T. Giesecke, S. Hausmann, S.T. Jackson, C. Latorre, J. Nichols, T. Purdum, R.E. Roth, M. Stryker, and H. Takahara. 2018. The Neotoma Paleoecology Database: a multi-proxy, international community-curated data resource. Quaternary Research 89:156-177."
1377,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Cave 1 UMNH Coll., Probably Stratum 2",1322.103027,635,705,1315,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1374,"Williams, S.C. 1937. Dawn of Tennessee valley and Tennessee history. The Watauga Press, Johnson City, Tennessee. "
1378,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Moccasin, leather. 42BO1:10270",1322.103027,631,677,1319,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1375,"Wills, W.H. 1988. Early Prehistoric Agriculture in the American Southwest. University of Washington Press, Seattle, Washington."
1379,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,"Buffalo hide sole, with loops. 42BO1:10191",1322.103027,629,681,1321,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1376,"Wilmeth, R. 1978. Canadian archaeological radiocarbon dates (revised version). Archaeological Survey of Canada Mercury Series Paper 77. National Museum of Man, Ottawa, Ontario."
1380,-113.097137,41.514922,2,,,Promontory Cave [42BO1],NA,NA,1322.103027,613,663,1337,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,1377,"Wilmeth, R., A.A. Rutherford, and J. Wittenberg. 1979. University of Saskatchewan radiocarbon dates VIII. Radiocarbon 21(1):48-94."
1381,-113.0963944,53.58840308,1,Rundle-1841-01-17,NW11309,Rundle-1841-01-17,1840-48-Rundle,"gave sermon to hunters, carcasses about",730.9399414,109,NA,1841,1,17,,Canada,Alberta,.,3,16,Bison bison,,610,,1378,"Wilmsen, E.N., and F.H.H. Roberts, Jr. 1978. Lindenmeier, 1934-1974: Concluding Reports of Investigations. Smithsonian Contributions to Anthropology 34. Smithsonian Institution Press, Washington, D.C."
1382,-113.0921205,48.87013167,1,Harriot-1822-12-20,NW5724,Harriot-1822-12-12,1822-23-Bow River Expedition,"bison on open plains, moose, deer bighorn antelope on slopes",1416.513672,128,NA,1822,12,20,,United States of America,Montana,Glacier,3,13,Bison bison,,97,,1379,"Wilson, J.S. 1984. The Lucky Strike site: a late Prehistoric campsite in the aspen parkland. Saskatchewan Archaeology 5:5-26."
1383,-113.0847892,60.97223538,1,Hearne-1772-01-17,NW803,Hearne-1772-01-17,1770-74-Hearne,"Hunting bison and moose along Slave River, look f Athabascans fire quote",159.4376678,178,NA,1772,1,17,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,1380,"Wilson, M. 1974. The Casper local fauna and its fossil bison. Pages 125-171 in G.C. Frison, editor. The Casper Site: A Hell Gap Bison Kill on the High Plains. Academic Press, New York City, New York."
1384,-113.0807544,45.01375208,1,Work-1831-12-07,NW6228,Work-1831-12-07,1823-40-Work,"same camp, hunting bison, but horses weak, no success",1859.904663,119,NA,1831,12,7,,United States of America,Montana,Beaverhead,3,3,Bison bison,,758,,1381,"Wilson, M. 1978. Archaeological kill site populations and the Holocene evolution of the genus Bison. Plains Anthropologist Memoir 14:9-22."
1385,-113.078333,37.28,3,ZION 12396,,Zion Bison Vertebra,,,1465.63562,11700,160000,-9750,NA,NA,,United States of America,Utah,Washington,NA,NA,,,"1203, 830",,1382,"Wilson, M.C. 1974. Fossil bison and artifacts from the Mona Lisa site, Calgary, Alberta part 1: stratigraphy and artifacts. Plains Anthropologist 19(63):34-45."
1386,-113.076677,60.57732792,1,Fidler-1791-09-22,NW1940,Fidler-1791-09-22,1791-1810-Fidler,"Down river, hunting bison, many beaver",170.4482727,159,NA,1791,9,22,,Canada,Northwest Territories,.,3,14,Bison bison,,1302,,1383,"Wilson, M.C. 1977. Archaeological studies in the Longview-Pekisko area of southern Alberta. Provincial Museum of Alberta, Edmonton, Alberta."
1387,-113.075,51.69166667,3,25485,16381,Milan [EkPg-VP] [Three Hills],,,835.2611694,10220,12020,-8270,NA,NA,,Canada,Alberta,.,0,1,Bison bison occidentalis,,"783, 482, 151, 1171",,1384,"Wilson, M.C. 1979. Archaeological excavations at the Donald site (EePl-218), a processing pit feature in downtown Okotoks, Alberta. Archaeological Survey of Alberta, Edmonton, Alberta."
1388,-113.075,51.691667,2,,,Milan [EkPg-VP] [Three Hills],NA,"sand, 5+ m thick, underlain by coarse gravel, overlain by 20-50 cm of grey to yellow clay, and 2.2-2.5 m of bouldery diamicton",835.2611694,11006,11326,-9056,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,1385,"Wilson, M.C. 1983. Geological influences on archaeological visibility in the Forty Mile Coulee area, Alberta. Report prepared for Ethos Consultants Ltd. and Alberta Environment, Medicine Hat, Alberta."
1389,-113.0739095,45.22480668,1,Ross-1824-10-26,NW4669,Ross-1824-10-26,1811-24-Ross,"travelling through abundant bison, elk, deer, fowl country",1952.924194,126,NA,1824,10,26,,United States of America,Montana,Beaverhead,3,15,Bison bison,,"1107, 309",,1386,"Wilson, M.C. 1983. Once upon a river: archaeology and geology of the Bow River valley at Calgary, Alberta. Archaeological Survey of Canada Paper Mercury Series 114. National Museum of Man, Ottawa, Ontario."
1390,-113.0727196,44.35249116,1,Ferris-1832-05-24,NW8348,Ferris-1832-05-24,1830-35-Ferris,"over defile, many bison, wounded in travois",2279.269043,118,NA,1832,5,24,,United States of America,Idaho,Lemhi,3,20,Bison bison,,342,,1387,"Wilson, M.C. 1986. Late Quaternary landscape modification in the Cochrane-Calgary area of the Bow valley and its influence on archaeological visibility. Pages 63-90 in B. Ronaghan, editor. Archaeological Survey of Alberta Occasional Paper, Edmonton, Alberta."
1391,-113.071539,52.30402243,1,Henday-1754-10-11,NW241,Henday-1754-10-11,1754-55-Henday,WSW to Red Deer River near Nevis,800.1693115,196,NA,1754,10,11,,Canada,Alberta,.,2,2,Bison bison,,"80, 893",,1388,"Wilson, M.C. 1988. Bison dentition from the Henry Smith Site, Montana: evidence for seasonality and paleoenvironments at an Avonlea bison kill. Pages 203-225 in L.B. Davis, editor. Avonlea Yesterday and Today: Archaeology and Prehistory. Saskatchewan Archaeological Society, Saskatoon, Saskatchewan."
1392,-113.0711471,45.01311865,1,Work-1831-12-06,NW6227,Work-1831-12-06,1823-40-Work,"same camp, hunting bison",1859.904663,119,NA,1831,12,6,,United States of America,Montana,Beaverhead,3,3,Bison bison,,758,,1389,"Wilson, M.C., and A.C. MacWilliams. 1987. Preliminary geoarchaeological studies at the Fletcher PaleoIndian bison kill site (Alberta/Scottsbluff), Southern Alberta. Alberta Archaeological Review 14:12-15."
1393,-113.07,44,1,423,Idaho Mus NH-none,"Mouth of Uncle Ike Cr Canyon, ID",,,2405.419189,-12,NA,1962,NA,NA,,United States of America,Idaho,Butte,NA,NA,,Idaho Mus NH,1281,,1390,"Wilson, M.C., and C.S. Churcher. 1978. Late Pleistocene Camelops from the Gallelli Pit, Calgary, Alberta: morphology and geologic setting. Canadian Journal of Earth Sciences 15(5):729-740."
1394,-113.0699504,60.75651384,1,Turnor-1791-07-29,NW1808,Turnor-1791-07-29,1790-92-Turnor,"to island passed on 17th, Cree hunter after bison, too far from river",164.2417908,159,NA,1791,7,29,,Canada,Northwest Territories,.,1,1,Bison bison,,1302,,1391,"Wilson, M.C., and C.S. Churcher. 1984. The Late Pleistocene Bighill Creek Formation and its equivalents in Alberta: correlative potential and vertebrate palaeofauna. Pages 159-175 in W.C. Mahaney, editor. Correlation of Quaternary Chronologies. Geobooks, Norwich, United Kingdom."
1395,-113.066667,52.366667,2,,,NOVA Donalda [FcPg-33],NA,NA,800.1693115,1478,1658,472,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,1392,"Wilson, M.C., J.R. Vickers, A.C. MacWilliams, A.B. Beaudoin, and I.G. Robertson. 1991. New studies at the Fletcher Palaeo-Indian bison kill (Alberta/Scottsbluff), southern Alberta. Pages 127-133 in M. Magne, editor. Archaeology in Alberta 1988 and 1989. Archaeological Survey of Alberta Occasional Paper, Edmonton, Alberta."
1396,-113.066667,52.366667,2,,,NOVA Donalda [FcPg-33],NA,NA,800.1693115,1477,1637,473,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,1393,"Wilson, M.C., S.M. Kenady, and R.F. Shalk. 2009. Late Pleistocene Bison antiquus from Orcas Island, Washington, and the biogeographic importance of an early postglacial land mammal dispersal corridor from the mainland to Vancouver Island. Quaternary Research 71(1):49-61."
1397,-113.066667,52.366667,2,,,NOVA Donalda [FcPg-33],NA,NA,800.1693115,1432,1612,518,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,1394,"Wilson-Meyer, D., and M.I. Carlson. 1985. The Yellowsky site (FjOd-2): an Avonlea campsite in west-central Saskatchewan. Saskatchewan Archaeology 6:19-32."
1398,-113.0666667,52.36666667,3,25494,16386,NOVA Donalda [FcPg-33],,,800.1693115,1340,1820,610,NA,NA,,Canada,Alberta,.,0,1,Bison sp,,482,,1395,"Winkler, D.A. 1982. Re-evaluation of the vertebrate fauna from the Lewisville archeological site, Denton County, Texas. U.S. Army Corps of Engineers, Fort Worth, Texas."
1399,-113.0656974,45.01687328,1,Work-1831-12-05,NW6226,Work-1831-12-05,1823-40-Work,"same camp, kill few bison, bringing grass into horses",1859.904663,119,NA,1831,12,5,,United States of America,Montana,Beaverhead,3,11,Bison bison,,758,,1396,"Winship, G.P. 1904. The Journey of Coronado, 1540–1542, from the City of Mexico to the Grand Canyon of the Colorado and the Buffalo Plains of Texas, Kansas, and Nebraska, As Told by Himself and His Followers. A.S. Barnes and Co., New York City, New York."
1400,-113.0594902,53.58318449,1,Rundle-1841-01-14,NW11306,Rundle-1841-01-14,1840-48-Rundle,leave at 7pm in carriole drawn by 4 dogs plus driver to small camp,730.9399414,109,NA,1841,1,14,,Canada,Alberta,.,3,3,Bison bison,,610,,1397,"Wiseman, R.N. 1981. Further investigation at the King Ranch site, Chaves County, New Mexico. The Artifact 19(3-4):169-198."
1401,-113.0589979,61.44716581,1,Hearne-1772-01-09,NW795,Hearne-1772-01-09,1770-74-Hearne,Arrived on S Side Great Slave Lake,156.6703644,178,NA,1772,1,9,,Canada,Northwest Territories,.,3,11,Bison bison,,"521, 388",,1398,"Wiseman, R.N. 2015. The Archaeology of Lower Nash Draw: Excavation of Seven Prehistoric Sites and Documentation of One Recent Historic Site Along NM 128 from Jct. NM 31 to WIPP Turnoff, Eddy County, New Mexico. Archaeology Notes 398, Office of Archaeological Studies, Department of Cultural Affairs, Santa Fe, New Mexico."
1402,-113.0571122,45.01522395,1,Work-1831-12-04,NW6225,Work-1831-12-04,1823-40-Work,"same camp, hunt bison, kill very few",1859.904663,119,NA,1831,12,4,,United States of America,Montana,Beaverhead,3,6,Bison bison,,758,,1399,"Wislizenius, F.A. 1912. A Journey to the Rocky Mountains in the Year 1839. State Historical Society of Missouri, St. Louis, Missouri."
1403,-113.0485957,45.01378147,1,Work-1831-12-03,NW6224,Work-1831-12-03,1823-40-Work,"same camp, Blackfoot seen upvalley, Nez Perce stolen horses",1859.904663,119,NA,1831,12,3,,United States of America,Montana,Beaverhead,3,3,Bison bison,,758,,1400,"Wismer, M. 2018. Hunt, Gather, Garden: Faunal Exploitation During the Adoption of Agriculture in the Tallgrass Prairie. Doctoral dissertation. University of Iowa, Iowa City, Iowa."
1404,-113.0445172,43.90289613,1,Ogden-1827-11-11,NW7223,Ogden-1827-11-11,1824-30-Ogden,"8M S to McKenzie's winter camp, killed 5-7 cows, grass poor",1672.014893,123,NA,1827,11,11,,United States of America,Idaho,Butte,3,9,Bison bison,,982,,1401,"Withers, K. 1989. Late Quaternary Vegetation and Climate of Forty-Mile Canyon and Willow Gulch, in the Central Colorado Plateau. Master's thesis. Northern Arizona University, Flagstaff, Arizona."
1405,-113.0439966,43.84471022,1,Bonn-1833-06-04,NW9412,Bonn-1833-06-04,1832-35-Bonneville,Drying meat on lower Godins River,1672.014893,117,NA,1833,6,4,,United States of America,Idaho,Butte,3,20,Bison bison,,612,,1402,"Withers, K., and J. Mead. 1993. Late Quaternary vegetation and climate in the Escalante River Basin on the central Colorado Plateau. The Great Basin Naturalist 53(2):145-161."
1406,-113.0432303,45.20480096,1,Ogden-1825-01-28,NW6621,Ogden-1825-01-28,1824-30-Ogden,South to Bannack area,1952.924194,125,NA,1825,1,28,,United States of America,Montana,Beaverhead,2,2,Bison bison,,981,,1403,"Witty, T.A. 1999. Cuesta Phase sites of the Big Hill Lake area, Southeast Kansas. Kansas State Historical Society Contract Archaeology1 9, Topeka, Kansas."
1407,-113.0430035,45.02461581,1,Bonn-1832-10-26,NW9292,Bonn-1832-10-26,1832-35-Bonneville,Hunters on Horse Prairie get bison Blackfoot problems,1859.904663,118,NA,1832,10,26,,United States of America,Montana,Beaverhead,3,20,Bison bison,,612,,1404,"Wolverton, S. 2001. Environmental Implications of Zooarchaeological Measures of Resource Depression. Doctoral dissertation. University of Missouri, Columbia, Missouri."
1408,-113.0428191,45.20752208,1,Ferris-1833-11-20,NW8604,Ferris-1833-11-20,1830-35-Ferris,"went to Bitterroot Fks via BigHole, bison abundant to BR pass",1952.924194,117,NA,1833,11,20,,United States of America,Montana,Beaverhead,3,16,Bison bison,,342,,1405,"Wood, J.J. 1971. Excavation at two Woodland sites in Arapahoe County, Colorado. Plains Anthropologist 16:311-320."
1409,-113.0410547,45.01436469,1,Work-1831-12-02,NW6223,Work-1831-12-02,1823-40-Work,"same camp, killed a few",1859.904663,119,NA,1831,12,2,,United States of America,Montana,Beaverhead,3,11,Bison bison,,758,,1406,"Wood, W.R. 1968. Mississippian hunting and butchering patterns: bone from the Vista Shelter, 23SR-20, Missouri. American Antiquity 8(2):170-179."
1410,-113.0340761,43.86687908,1,Bonn-1833-02-28,NW9358,Bonn-1833-02-28,1832-35-Bonneville,Arrived Godins River (Big Lost) killed bison in lower defile,1672.014893,117,NA,1833,2,28,,United States of America,Idaho,Butte,3,20,Bison bison,,612,,1407,"Wood, W.R. 1969. Two House Sites in the Central Plains: An Experiment in Archeology. Plains Anthropologist Memoir 6."
1411,-113.0333662,45.01469734,1,Work-1831-12-01,NW6222,Work-1831-12-01,1823-40-Work,"10M SSW upriver, herds bison, kill a few, but horses unfit",1859.904663,119,NA,1831,12,1,,United States of America,Montana,Beaverhead,3,16,Bison bison,,758,,1408,"Wood, W.R. 1971. Biesterfeldt: a post-contact coalescent site on the northeastern plains. Smithsonian Contributions to Anthropology 15, Washington, D.C."
1412,-113.0332791,45.19348781,1,Ogden-1825-01-29,NW6622,Ogden-1825-01-29,1824-30-Ogden,"Stayed in Bannack area, bison killed near camp",1952.924194,125,NA,1825,1,29,,United States of America,Montana,Beaverhead,3,20,Bison bison,,981,,1409,"Wood, W.R. 1971. Pottery sites near Limon, Colorado. Southwestern Lore 37(3):53-85."
1413,-113.0300764,53.72781058,1,Henday-1755-04-02,NW414,Henday-1755-04-02,1754-55-Henday,men returned with buffalo flesh,653.7259521,195,NA,1755,4,2,,Canada,Alberta,.,3,4,Bison bison,,"80, 893",,1410,"Wood, W.R. 1976. Fay Tolton and the Initial Middle Missouri Variant. Missouri Archaeological Society Research Series 13, Springfield, Missouri."
1414,-113.0263793,42.90923311,1,Ogden-1828-03-01,NW7267,Ogden-1828-03-01,1824-30-Ogden,"Ogden 1827-28 camp, bison 10M on plains, many natives",1430.693481,122,NA,1828,3,1,,United States of America,Idaho,Power,3,33,Bison bison,,982,,1411,"Wood, W.R. 1986. The Ice Glider site, 320L110: Introduction. Pages 97-104 in W.R. Wood, editor. Ice Glider, 320L110. Special Publication of the South Dakota Archaeological Society 10, Sioux Falls, South Dakota."
1415,-113.023056,43.401389,2,,,Bobcat Cave [10BM56],NA,"Area A, stratum IV, feature consisting of frozen sagebrush stalks and bison remains",1573.951416,4569,4709,-2619,NA,NA,,United States of America,Idaho,Butte,NA,NA,,,"1352, 838",,1412,"Wood, W.R., and A.R. Woolworth. 1964. The Paul Brave site (32SI4) the Oahe Reservoir area, North Dakota. Bureau of American Ethnology Bulletin 189, River Basin Survey 33. Smithsonian Institution, Washington, D.C."
1416,-113.0230556,43.40138889,3,40974,23679,Bobcat Cave [10BM56],,,1573.951416,4440,5280,-2490,NA,NA,,United States of America,Idaho,Butte,0,21,Bison sp,,"1427, 532, 531, 533",,1413,"Wood, W.R., and T.D. Thiessen. 1985. Early Fur Trade on the Northern Plains: Canadian Traders among the Mandan and Hidatsa Indians, 1738-1818: The Narratives of John Macdonell, David Thompson, Francois-Antoine Larocque, and Charles McKenzie. University of Oklahoma, Norman, Oklahoma."
1417,-113.0222222,49.76111111,3,25278,16300,Kipp [DkPg-VP],,,941.4853516,540,680,1410,NA,NA,,Canada,Alberta,.,0,1,Bison sp,,"784, 482",,1414,"Woodard, G.D., and L.F. Marcus. 1973. Rancho La Brea fossil deposits: a re-evaluation from stratigraphic and geologic evidence. Journal of Paleontology 47(1):54-69."
1418,-113.022222,49.761111,2,,,Kipp [DkPg-VP],NA,"poorly sorted sand and gravel, 1-3 m below the surface of the second terrace above Oldman River",941.4853516,559,659,1391,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,1415,"Woodson, K. 2007. The Goat Hill site and ancestral Pueblo migrations into the Safford Basin. The Petroglyph, Newsletter of the Arizona Archaeological Society 43:7–11."
1419,-113.020313,45.01526668,1,Work-1832-01-09,NW6261,Work-1832-01-09,1823-40-Work,"7M NNE downvalley to below Dec 8 camp, bison bulls, Blackfeet",1859.904663,118,NA,1832,1,9,,United States of America,Montana,Beaverhead,3,8,Bison bison,,758,,1416,"Wormington, H.M., and R.G. Forbis. 1965. An introduction to the archaeology of Alberta, Canada. Proceedings of the Denver Museum of Natural History, Denver, Colorado."
1420,-113.018618,48.700101,2,,,Kutoyis [24GL366],NA,Block E Feature 2 top,1397.022461,464,540,1486,NA,NA,,United States of America,Montana,Glacier,NA,NA,,,"1352, 838",,1417,"Worthen, A.H. 1875. Geology of Crawford and Jasper counties. Geological Survey of Illinois 6(1):22-36."
1421,-113.018618,48.700101,2,,,Madison Buffalo Jump [24GL],NA,highest bed under cliff,1397.022461,445,529,1505,NA,NA,,United States of America,Montana,Glacier,NA,NA,,,"1352, 838",,1418,"Wright, B.A. 1954. Excavation of Catclaw Cave, Lower Colorado River. Master’s thesis. University of Arizona, Tucson, Arizona."
